tract_a	tract_b	adjacency
53045961100	53053072603	1
53033025701	53033025701	1
53033025701	53033025702	1
53033025701	53033025804	1
53033025602	53033025701	1
53033025701	53033025806	1
53033025302	53033025701	1
53033025301	53033025701	1
53033025601	53033025701	1
53033025701	53033025805	1
53033025702	53033025702	1
53033025702	53033025804	1
53033025702	53033031908	1
53033025602	53033025702	1
53033025702	53033025805	1
53033025702	53033031907	1
53033025804	53033025804	1
53033025804	53033031908	1
53033025804	53033031909	1
53033025804	53033029304	1
53033025803	53033025804	1
53033025804	53033025805	1
53033026001	53033026001	1
53033026001	53033026100	1
53033011900	53033026001	1
53033026001	53033026002	1
53033025302	53033026001	1
53033026100	53033026100	1
53033026100	53033026300	1
53033011900	53033026100	1
53033026002	53033026100	1
53033026100	53033026200	1
53033028902	53033028902	1
53033028902	53033029001	1
53033028902	53033029003	1
53033028902	53033029004	1
53033028801	53033028902	1
53033028802	53033028902	1
53033028901	53033028902	1
53033028902	53033029101	1
53033028902	53033029102	1
53033029001	53033029001	1
53033029001	53033029003	1
53033029001	53033030003	1
53033028901	53033029001	1
53033029001	53033990100	1
53033029003	53033029003	1
53033029003	53033029004	1
53033029003	53033030003	1
53033029004	53033029004	1
53033029004	53033030003	1
53033029004	53033029101	1
53033029004	53033029801	1
53033029004	53033029102	1
53033029203	53033029203	1
53033029203	53033029204	1
53033029203	53033029503	1
53033029203	53033029206	1
53033029203	53033029700	1
53033032003	53033032003	1
53033032003	53033032010	1
53033032002	53033032003	1
53033032003	53033032102	1
53033032003	53033032702	1
53033031502	53033032003	1
53033031603	53033032003	1
53033032003	53033032007	1
53033031501	53033032003	1
53033032208	53033032208	1
53033032208	53033032211	1
53033032207	53033032208	1
53033023404	53033032208	1
53033032208	53033032212	1
53033032103	53033032208	1
53033032208	53033032210	1
53033032800	53033032800	1
53033032800	53061053801	1
53033032500	53033032800	1
53033032602	53033032800	1
53033032702	53033032800	1
53033032800	53037975100	1
53033032704	53033032800	1
53033032703	53033032800	1
53033032601	53033032800	1
53007960200	53033032800	1
53033026300	53033026300	1
53033026300	53033026400	1
53033026300	53033027200	1
53033011900	53033026300	1
53033011200	53033026300	1
53033011700	53033026300	1
53033010900	53033026300	1
53033026200	53033026300	1
53033026400	53033026400	1
53033026400	53033027000	1
53033026400	53033027100	1
53033026400	53033026500	1
53033026400	53033027200	1
53033011200	53033026400	1
53033029204	53033029204	1
53033029204	53033029305	1
53033029204	53033029407	1
53033029204	53033029503	1
53033029204	53033029206	1
53033029204	53033029403	1
53057940500	53057940500	1
53057940500	53057940600	1
53057940300	53057940500	1
53057940400	53057940500	1
53033032211	53033032211	1
53033032207	53033032211	1
53033032211	53033032213	1
53033032211	53033032214	1
53033032211	53033032212	1
53033032307	53033032307	1
53033032307	53033032322	1
53033032307	53061051912	1
53033032307	53033032326	1
53033032307	53033032320	1
53033032307	53033032321	1
53033032307	53033032311	1
53033032307	53061052112	1
53033032317	53033032317	1
53033032317	53033032318	1
53033032203	53033032317	1
53033032316	53033032317	1
53033032214	53033032317	1
53033032318	53033032318	1
53033032203	53033032318	1
53033032315	53033032318	1
53033032318	53033032328	1
53033032316	53033032318	1
53033032215	53033032318	1
53033032214	53033032318	1
53033032322	53033032322	1
53033032322	53033032326	1
53033032320	53033032322	1
53033032321	53033032322	1
53033032323	53033032323	1
53033032323	53033032325	1
53033032309	53033032323	1
53033032323	53033032324	1
53033032323	53033032326	1
53033032321	53033032323	1
53033032325	53033032325	1
53033032309	53033032325	1
53033032324	53033032325	1
53033032325	53033032326	1
53033032313	53033032325	1
53033008002	53033008002	1
53033008001	53033008002	1
53033007200	53033008002	1
53033008002	53033008100	1
53071920801	53071920801	1
53071920500	53071920801	1
53071920801	53071920900	1
53071920200	53071920801	1
53071920702	53071920801	1
53071920801	53071920802	1
53063013800	53063013800	1
53063013800	53063013900	1
53063010401	53063013800	1
53033032309	53033032309	1
53033032309	53033032324	1
53033022605	53033032309	1
53033022802	53033032309	1
53033032309	53033032313	1
53033032309	53033032321	1
53033032324	53033032324	1
53033010500	53033010500	1
53033010500	53033010702	1
53033009701	53033010500	1
53033009702	53033010500	1
53033009800	53033010500	1
53033009900	53033010500	1
53033010500	53033010600	1
53063014001	53063014001	1
53063003000	53063003000	1
53063003000	53063004601	1
53063003000	53063014500	1
53063013900	53063013900	1
53073000300	53073000300	1
53073000300	53073001100	1
53073000300	53073000400	1
53073001100	53073001100	1
53073000502	53073001100	1
53073001100	53073001201	1
53073001100	53073010900	1
53073001000	53073001100	1
53073000400	53073001100	1
53073001100	53073001202	1
53073010401	53073010401	1
53073010401	53073010403	1
53073010401	53073010404	1
53021020200	53021020200	1
53021020200	53021020300	1
53021020100	53021020200	1
53021020200	53021020400	1
53021020300	53021020300	1
53021020300	53021020605	1
53021020300	53021980100	1
53021020100	53021020300	1
53021020300	53021020400	1
53021020300	53021020502	1
53021020601	53021020601	1
53021020601	53021020800	1
53021020601	53021020700	1
53005012000	53021020601	1
53005010100	53021020601	1
53021020601	53021020606	1
53021020601	53021020605	1
53021020601	53021980100	1
53021020100	53021020601	1
53021020800	53021020800	1
53021020700	53021020800	1
53005012000	53021020800	1
53001950200	53021020800	1
53001950300	53021020800	1
53021020800	53025011402	1
53021020700	53021020700	1
53021020700	53071920000	1
53021020700	53075001000	1
53001950200	53021020700	1
53013960200	53021020700	1
53021020100	53021020700	1
53033031400	53033031400	1
53033031301	53033031400	1
53033031302	53033031400	1
53033031400	53033031502	1
53033031703	53033031703	1
53033031703	53033031704	1
53033029601	53033031703	1
53033029406	53033031703	1
53033029502	53033031703	1
53033031703	53033031706	1
53033031703	53033031800	1
53033031703	53033031705	1
53033031704	53033031704	1
53033029601	53033031704	1
53033029502	53033031704	1
53033031704	53033031706	1
53033029602	53033031704	1
53033031204	53033031704	1
53033031601	53033031704	1
53033031205	53033031704	1
53033031704	53033032006	1
53033031908	53033031908	1
53033031908	53033031909	1
53033029304	53033031908	1
53033031907	53033031908	1
53033032005	53033032005	1
53033031706	53033032005	1
53033031800	53033032005	1
53033031705	53033032005	1
53033032005	53033032007	1
53033032005	53033032006	1
53033032008	53033032008	1
53033031604	53033032008	1
53033032008	53033032011	1
53033032007	53033032008	1
53033032006	53033032008	1
53033032203	53033032203	1
53033023000	53033032203	1
53033023100	53033032203	1
53033032203	53033032207	1
53033032203	53033032316	1
53033023404	53033032203	1
53033023403	53033032203	1
53033032203	53033032214	1
53033031909	53033031909	1
53033029304	53033031909	1
53033031906	53033031909	1
53033031800	53033031909	1
53033029307	53033031909	1
53033031907	53033031909	1
53063011600	53063011600	1
53063011500	53063011600	1
53063011600	53063011701	1
53063011600	53063011702	1
53067011710	53067011710	1
53067011621	53067011710	1
53067011623	53067011710	1
53067011710	53067011720	1
53067010800	53067011710	1
53067010400	53067011710	1
53067011300	53067011710	1
53067010700	53067011710	1
